batch,rmse,mae
1,359758.74289079645,117529.31057751784
2,175592.88132251287,62389.208890361355
3,131187.59084020765,24408.09729299729
4,120637.50710306849,35317.71304427418
5,155698.72291973452,32387.616824432145
6,98983.82063710746,21494.6262887307
7,1459519.1951721061,80233.57332791902
8,784781.3194233173,92403.29482426273
9,258875.00140800807,57578.296048127726
10,270389.7912597228,90979.30419740023
11,180697.77089173402,24854.82292492846
12,123558.14255224234,20861.36143412713
13,101282.09431611434,23549.88647491922
14,109054.95778574837,23965.532602664694
15,302376.373561136,35119.55771985326
16,117469.29704656819,21623.571261350346
17,87489.86166122393,19521.894973068946
18,292138.43689912144,35065.904052479236
19,145863.1403870614,24829.66477508548
20,4806650.43213429,187211.0980388669
21,2067689.9939840522,269666.2687768647
22,140797.95430805426,47890.72938092747
23,193662.67078755522,50276.96478201737
24,123600.68383225656,29047.054353086256
25,186653.03108945035,24687.34584679907
26,340232.67696093186,77477.32421667426
27,138530.0935024242,32283.92936224543
1,418391.5107257886,124598.95214456692
2,176641.45673664528,56883.543186024515
3,132304.07990779847,25179.829509123007
4,116862.39255048442,33946.134349286236
5,153546.38212346256,30390.588688279928
6,101370.36969253408,22449.154294484426
7,1457705.9422135672,87363.32975488169
8,868121.359029322,97262.15683789182
9,249283.56410406216,54176.6797810308
10,240730.5781225859,78429.22053812956
11,181376.26930985492,25879.268640501545
12,125427.3373295512,22418.594788426897
13,103169.82758002222,25106.759037638807
14,110022.00095754262,23186.17269325644
15,302558.86998490844,35208.277424729175
16,119063.19768205124,20829.22268667716
17,86740.65426856189,19173.63501006793
18,293033.8949032219,35438.24653978647
19,149098.65796404227,25536.166158450033
20,4803736.601479799,189050.50688364301
21,2463919.5678672823,203376.1581389049
22,135214.35034558867,45578.41746063047
23,191374.83221703066,47338.50950466963
24,120482.43628705088,28297.15996527661
25,186656.51534625213,24727.054560871566
26,316136.5474528781,71256.54934569495
27,137555.6518461575,32189.419687564525
28,130356.44429324978,34352.454308266446
29,193504.22295088993,30924.454882745744
30,704603.7741551498,58239.83615901718
31,472068.0859004277,40897.92797382978
32,126945.76043994284,18318.34002533429
33,159306.08866601446,90777.25352794553
34,119677.64339255932,29556.690687205395
35,116038.38410659187,29037.955847754558
36,232791.59422699217,44093.28222794577
37,144320.8986563212,28209.978731457002
38,4773868.3095626375,239192.61909257635
39,659420.5515483926,89575.3650993649
40,102050.55281448213,30899.54770732093
41,55105.92038688859,18675.031427782633
42,297547.49415014003,32515.892860906915
43,265827.8907942753,75734.84510986882
44,384170.73055922735,63425.219200755535
45,338510.80178700056,50426.43045196203
46,84619.87260201105,18283.506949977396
47,266842.7170519082,28319.669593525392
48,133169.16773334992,25129.36952170589
49,415808.572277559,36824.00181920169
50,900916.6920463869,178053.01738425763
51,309143.7253170351,64158.168109837105
52,462799.23238401604,117208.47215049305
53,119050.97420708061,46708.04514539943
54,509422.7418194928,43675.34255447276
55,78668.85149936943,16180.684778705414
56,176152.07413450012,29901.932839399837
57,108592.7765952383,27092.80690929369
58,180331.93856885942,61304.293736573585
59,1275256.8848106074,95735.04814447001
60,176503.04159904155,48547.500025294525
61,306845.496642905,44149.562583039995
62,188288.26682783986,39519.176882280706
63,243595.06091977513,71802.04529226261
64,354926.11837463104,61060.062386618076
65,222059.90555419534,92654.58811936408
66,229403.2761233141,41165.853535061586
67,179938.8298291062,46954.32590665185
68,83350.46821074077,24179.304129332384
69,151332.3605970285,30594.540436600048
70,274824.27517255757,44476.52567047744
71,524793.0196204782,108743.67381167685
72,168443.7030896901,31611.677218393073
73,531038.4709614742,58898.1177741005
74,1225357.380572894,488776.9564042897
75,260702.53037491394,58032.61058892076
76,231646.75768791026,47260.081768585515
77,167760.57588279177,48316.778370430686
78,119106.94472188698,28041.43399127739
79,391990.1742078223,38933.43537166262
80,354134.5712020346,56227.41202459626
81,239120.2489990807,47753.75389960371
82,163081.82952312235,32483.31429198305
